openalex_id,doi,landing_page_url,current_type,opus_type,is_changed,opus_confidence,opus_reason,opus_is_broken,lp_status,error
https://openalex.org/W3014040853,https://doi.org/10.1021/bk-2020-1343.ch002,https://doi.org/10.1021/bk-2020-1343.ch002,book-chapter,book-chapter,False,high,Crossref type book-chapter within ACS Symposium Series volume with ISBN and chapter pages 19-30.,False,403,
https://openalex.org/W2113237460,https://doi.org/10.1016/j.surfcoat.2011.04.064,https://linkinghub.elsevier.com/retrieve/pii/S0257897211004208,article,article,False,high,Journal research article in Surface and Coatings Technology with full page range and 31 references.,False,200,
https://openalex.org/W3194878796,https://doi.org/10.1007/s12145-021-00674-7,https://link.springer.com/10.1007/s12145-021-00674-7,article,article,False,high,dc.type 'OriginalPaper' with 31 references in a journal indicates original research article.,False,200,
https://openalex.org/W2331728699,https://doi.org/10.1142/9789812770189_0078,https://doi.org/10.1142/9789812770189_0078,article,conference-paper,True,high,Crossref type is proceedings-article with a multi-page proceedings volume container.,False,403,
https://openalex.org/W2802243839,https://doi.org/10.1109/itec-india.2017.8356950,https://ieeexplore.ieee.org/document/8356950/,article,conference-paper,True,high,Crossref type proceedings-article in an IEEE conference proceedings (ITEC-India 2017).,False,202,
https://openalex.org/W4411122036,https://doi.org/10.1007/s12467-025-1592-0,https://link.springer.com/10.1007/s12467-025-1592-0,article,editorial,True,high,"dc.type is EditorialNotes and title ""Geachte lezer,"" (Dear reader) is an editor's introduction.",False,200,
https://openalex.org/W2126061478,https://doi.org/10.1016/j.orggeochem.2009.07.008,https://linkinghub.elsevier.com/retrieve/pii/S0146638009001594,article,article,False,high,Journal research paper with 64 references and full page range in Organic Geochemistry.,False,200,
https://openalex.org/W4395694467,https://doi.org/10.2166/nh.2024.128,https://doi.org/10.2166/nh.2024.128,article,article,False,high,"Journal research paper with full page range and references in Hydrology Research, classic original article.",False,403,
https://openalex.org/W4362540838,https://doi.org/10.1158/1055-9965.22552126.v1,https://aacr.figshare.com/articles/journal_contribution/Figure_S2B_from_Linking_Physical_Activity_to_Breast_Cancer_Risk_via_Inflammation_Part_1_The_Effect_of_Physical_Activity_on_Inflammation/22552126/1,preprint,supplementary-materials,True,high,Title 'Figure S2B from [article]' on figshare is a supplementary figure subordinate to a parent article.,False,202,
https://openalex.org/W4390972146,https://doi.org/10.1007/s11033-023-09171-0,https://link.springer.com/10.1007/s11033-023-09171-0,article,article,False,high,"dc.type ""BriefCommunication"" with original research content and cited references routes to article.",False,200,
https://openalex.org/W4389695188,https://doi.org/10.1515/9780889774322-016,https://www.degruyterbrill.com:443/document/doi/10.1515/9780889774322-016/html,book-chapter,book-chapter,False,high,Crossref type book-chapter with citation_inbook_title and ISBN confirms a chapter within an edited book.,False,202,
https://openalex.org/W2509107323,https://doi.org/10.1007/s11869-016-0426-z,https://link.springer.com/article/10.1007/s11869-016-0426-z,article,article,False,high,"dc.type ""OriginalPaper"" and journal-article in Air Quality journal indicate original research article.",False,200,
https://openalex.org/W4411933110,https://doi.org/10.1016/j.foodhyd.2025.111722,https://linkinghub.elsevier.com/retrieve/pii/S0268005X25006824,article,article,False,high,Crossref journal-article with 57 references and original research title in Food Hydrocolloids.,False,200,
https://openalex.org/W4402952497,https://doi.org/10.12677/met.2024.135046,https://www.hanspub.org/journal/paperinformation?paperid=97320,article,article,False,high,Crossref journal-article with full page range (394-403) and references reporting original research method.,False,200,
https://openalex.org/W4417420642,https://doi.org/10.1007/978-981-97-1788-0_53-1,https://link.springer.com/10.1007/978-981-97-1788-0_53-1,book-chapter,reference-entry,True,high,URL path 'rwe' (reference work entry) and container 'Handbook of Public Health in the Asia-Pacific' mark this as a single entry in a reference work.,False,200,
https://openalex.org/W4407426750,https://doi.org/10.5771/9781442280861,https://www.inlibra.com/de/document/view/detail/uuid/d1727aab-86b3-32a3-849d-48c138e50a7e,book,book,False,high,Crossref type 'monograph' with ISBN and og:type 'book' on a reachable 200 landing page.,False,200,
https://openalex.org/W4411247457,https://doi.org/10.21608/enj.2025.432400,https://doi.org/10.21608/enj.2025.432400,article,article,False,high,"Original research study on rats in a journal, cr_type journal-article with abstract and page range.",False,429,
https://openalex.org/W2005696785,https://doi.org/10.1097/00003643-201006121-00715,https://journals.lww.com/ejanaesthesiology/fulltext/2010/06121/the_hemodynamic_and_postoperative_pain_control.715.aspx,article,conference-abstract,True,high,"Single-page (222-222) citation record with 0 references in a supplement-style issue (06121) of an anaesthesiology meeting, signaling an abstract-only proceedings record.",False,200,
https://openalex.org/W4205383261,https://doi.org/10.1007/978-3-540-34361-5_1063,https://link.springer.com/rwe/10.1007/978-3-540-34361-5_1063,book-chapter,reference-entry,True,high,"URL is a Springer referenceworkentry in the 'Dictionary of Minor Planet Names', a single entry in a reference work.",False,200,
https://openalex.org/W4224036633,https://doi.org/10.1111/jace.18458,https://doi.org/10.1111/jace.18458,article,article,False,high,Crossref journal-article with full page range and references in a research journal indicates an original research article.,False,403,
https://openalex.org/W4284707941,https://doi.org/10.3917/const.062.0057,https://doi.org/10.3917/const.062.0057,article,article,False,medium,"Crossref journal-article in a journal with abstract and 4 pages, no review/editorial signals.",False,403,
https://openalex.org/W4212990831,https://doi.org/10.26226/morressier.5c643dc99ae8fb00131f8ceb,https://www.morressier.com/o/event/5c3da4fd9ae8fb00131ce43e/article/5c643dc99ae8fb00131f8ceb,preprint,conference-abstract,True,high,Morressier conference-platform record (event URL) with abstract and 0 references indicates a meeting abstract.,False,200,
https://openalex.org/W1673189721,https://doi.org/10.1016/j.jssc.2007.12.007,https://linkinghub.elsevier.com/retrieve/pii/S0022459607005208,article,article,False,high,Crossref journal-article with full pages and 71 references reporting original synthesis research.,False,200,
https://openalex.org/W3005120191,https://doi.org/10.47282/economica/2015/8/4/2/4613,https://ojs.lib.unideb.hu/economica/article/view/4613,article,article,False,high,Crossref journal-article in a journal venue (Economica) with research title and abstract.,False,200,
https://openalex.org/W2770899930,https://doi.org/10.1016/j.compositesa.2017.11.008,https://linkinghub.elsevier.com/retrieve/pii/S1359835X17304074,article,article,False,high,Journal research paper in Composites Part A with full page range (68-77) and 51 references.,False,200,
https://openalex.org/W1812470062,https://doi.org/10.1111/j.1365-2605.2010.01071.x,https://doi.org/10.1111/j.1365-2605.2010.01071.x,article,article,False,high,"Journal research paper with abstract, 20 refs, multi-page range, og:type Article.",False,403,
