openalex_id,doi,landing_page_url,current_type,opus_type,is_changed,opus_confidence,opus_reason,opus_is_broken,lp_status,error
https://openalex.org/W2790965413,https://doi.org/10.1016/j.dib.2018.01.075,https://linkinghub.elsevier.com/retrieve/pii/S2352340918300787,article,data-paper,True,high,"Published in Data in Brief describing a dataset to calculate emissions intensity, the canonical data-paper venue.",False,200,
https://openalex.org/W4303627711,https://doi.org/10.1016/j.dib.2022.108663,https://linkinghub.elsevier.com/retrieve/pii/S235234092200868X,article,data-paper,True,high,"Published in Data in Brief and titled as a dataset descriptor, the canonical data-paper venue and genre.",False,200,
https://openalex.org/W4411149490,https://doi.org/10.1016/j.dib.2025.111764,https://linkinghub.elsevier.com/retrieve/pii/S2352340925004913,article,data-paper,True,high,"Published in Data in Brief describing a dataset (BengalDeltaFish), the canonical data-paper venue.",False,200,
https://openalex.org/W2998230486,https://doi.org/10.1016/j.dib.2019.105073,https://linkinghub.elsevier.com/retrieve/pii/S2352340919314295,article,data-paper,True,high,"Published in Data in Brief with a title describing survey data, the hallmark of a data descriptor.",False,200,
https://openalex.org/W2002618220,https://doi.org/10.1016/j.dib.2015.02.016,https://linkinghub.elsevier.com/retrieve/pii/S235234091500027X,article,data-paper,True,high,"Published in Data in Brief describing a dataset, the canonical data-paper venue.",False,200,
https://openalex.org/W3043194960,https://doi.org/10.1038/s41597-020-00583-2,https://www.nature.com/articles/s41597-020-00583-2,article,data-paper,True,high,Scientific Data descriptor describing a multisource database rather than analyzing it.,False,200,
https://openalex.org/W4306292597,https://doi.org/10.1038/s41597-022-01732-5,https://www.nature.com/articles/s41597-022-01732-5,article,data-paper,True,high,"Published in Scientific Data describing a database, the canonical data-paper venue and subject.",False,200,
https://openalex.org/W2885428107,https://doi.org/10.1038/sdata.2018.156,https://www.nature.com/articles/sdata2018156,article,data-paper,True,high,"Scientific Data descriptor of a database (CO-ARBitrator) whose purpose is describing a dataset, not analyzing it.",False,200,
https://openalex.org/W4399571045,https://doi.org/10.1038/s41597-024-03475-x,https://www.nature.com/articles/s41597-024-03475-x,article,data-paper,True,high,"Published in Scientific Data describing a dataset's design and quality, matching the data-paper definition.",False,200,
https://openalex.org/W3210865027,https://doi.org/10.1016/j.dib.2021.107520,https://linkinghub.elsevier.com/retrieve/pii/S2352340921007964,article,data-paper,True,high,"Published in Data in Brief with a title describing dataset/data, the canonical data-descriptor genre.",False,200,
https://openalex.org/W3128757746,https://doi.org/10.1016/j.dib.2021.106831,https://linkinghub.elsevier.com/retrieve/pii/S2352340921001153,article,data-paper,True,high,"Published in Data in Brief with title describing a dataset, the canonical data-paper venue/genre.",False,200,
https://openalex.org/W3096071708,https://doi.org/10.1038/s41597-020-00730-9,https://www.nature.com/articles/s41597-020-00730-9,erratum,erratum,False,high,"Title ""Author Correction:"" and dc.type=Erratum indicate a published correction notice.",False,200,
